#,Options:,,Options:,Options:,Options:,Options:,,Options:,,,Options:,
#,IO description for Analog IPs,,IA,WR,Hex # only,Hex # only,,Hex # only,PLL,,Y,
#,,,OA,RD,blank for N/A,blank for N/A,,blank for N/A,Calibration,,blank for N/A,
#,,,ID,RDRSYNC,,,,,Constant,,,
#,,,OD,,,,,,Configurable,,,
#,,,PIA,,,,,,N/A,,,
#,,,POA,,,,,,,,,
#,,,PIOA,,,,,,,,,
#Revision,0.1,,"IA - Analog Input from Digital 
OA-  Analog Output to Digital
ID - Input from Digital(Register)
OD - Output to Digital(Register)
IDH - Input from Digital(Non-Register)
ODH - Output to Digital(Non-Register)
ICK - Clock in
OCK - Clock out
PIA/POA/PIOA- analog pin
","WR - From Digital to Analog (input)

RD- From Analog to Digital (output)

RDRSYNC - From Analog to Digital (output) sync 2 clk",,,,,"PLL: pu sequence of pll clock;
Calibration: value after cal
Constant: constant value 
Configurable: config in diff DFT items
N/A: not available",,,
#Register_<Title>,,,,,,,,,,,,
##Register Subtitle,,,,,,,,,,,,
#[15:0],<name>,8,OD,RD,0x0,,,N/A,,,,
,,,,,,,,,,,,
#DataClock_<Title>,,,,,,,,,,,,
##DataClock subtitle,,,,,,,,,,,,
#,<name>,1,OCK,N/A,N/A,,,N/A,,,,
,,,,,,,,,,,,
#PIN_<Title>,,,,,,,,,,,,
##PIN subtitle,,,,,,,,,,,,
#,<name>,1,OCK,N/A,N/A,,,N/A,,,,
,,,,,,,,,,,,
#Name,Filed Name,Width,Direction,Type,Default,DC SCAN Mode,Disable Scan (gating),OCC SCAN Mode,Special DFT Control,enable DFT TPI,Truth Table,Description
#Register_MISC,,,,,,,,,,,,
##MISC_ID,,,,,,,,,,,,
[15:8],IP_REV,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,revision 0
[7:0],IP_INFO,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,N/A
,,,,,,,,,,,,
##MISC1_ATEST_IVREF_CKTREE,,,,,,,,,,,,
[15:12],MISC_TE_BLK,4,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,test block select. 0::disable; 1: ivref_xtal; 2: tsen; 3: uvdet; 4: buck_efusepsw; 5:IO
[11:9],MISC_TR,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,test mux select
[8],MISC_PU_RING,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,
